unit_number,RUL
1,44
2,51
3,27
4,120
5,101
6,99
7,71
8,55
9,55
10,66
11,77
12,115
13,115
14,31
15,108
16,56
17,136
18,132
19,85
20,56
21,18
22,119
23,78
24,9
25,58
26,11
27,88
28,144
29,124
30,89
31,79
32,55
33,71
34,65
35,87
36,137
37,145
38,22
39,8
40,41
41,131
42,115
43,128
44,69
45,111
46,7
47,137
48,55
49,135
50,11
51,78
52,120
53,87
54,87
55,55
56,93
57,88
58,40
59,49
60,128
61,129
62,58
63,117
64,28
65,115
66,87
67,92
68,103
69,100
70,63
71,35
72,45
73,99
74,117
75,45
76,27
77,86
78,20
79,18
80,133
81,15
82,6
83,145
84,104
85,56
86,25
87,68
88,144
89,41
90,51
91,81
92,14
93,67
94,10
95,127
96,113
97,123
98,17
99,8
100,28
