unit_number,RUL
1,22
2,39
3,107
4,75
5,149
6,78
7,94
8,14
9,99
10,162
11,143
12,7
13,71
14,105
15,12
16,160
17,162
18,104
19,194
20,82
21,91
22,11
23,26
24,142
25,39
26,92
27,76
28,124
29,64
30,118
31,6
32,22
33,147
34,126
35,36
36,73
37,89
38,11
39,151
40,10
41,97
42,30
43,42
44,60
45,85
46,134
47,34
48,45
49,24
50,86
51,119
52,151
53,142
54,176
55,157
56,67
57,97
58,8
59,154
60,139
61,51
62,33
63,184
64,46
65,12
66,133
67,46
68,46
69,12
70,33
71,15
72,176
73,23
74,89
75,124
76,163
77,25
78,74
79,78
80,114
81,96
82,10
83,172
84,166
85,115
86,70
87,94
88,56
89,86
90,96
91,50
92,73
93,154
94,129
95,171
96,71
97,105
98,113
99,37
100,7
101,13
102,22
103,9
104,120
105,100
106,107
107,41
108,153
109,126
110,59
111,18
112,66
113,13
114,14
115,139
116,13
117,75
118,8
119,109
120,137
121,41
122,192
123,23
124,86
125,184
126,15
127,195
128,126
129,120
130,165
131,101
132,116
133,126
134,36
135,7
136,122
137,159
138,88
139,173
140,146
141,130
142,108
143,53
144,162
145,59
146,100
147,56
148,145
149,76
150,57
151,31
152,88
153,173
154,34
155,7
156,133
157,172
158,6
159,22
160,83
161,82
162,84
163,95
164,174
165,111
166,72
167,109
168,87
169,179
170,158
171,126
172,12
173,8
174,10
175,123
176,103
177,12
178,106
179,12
180,32
181,37
182,116
183,15
184,10
185,46
186,142
187,24
188,135
189,56
190,43
191,178
192,71
193,104
194,15
195,166
196,89
197,36
198,11
199,92
200,96
201,59
202,13
203,167
204,151
205,154
206,109
207,116
208,91
209,11
210,88
211,108
212,76
213,14
214,89
215,145
216,17
217,66
218,154
219,41
220,182
221,73
222,39
223,58
224,14
225,145
226,88
227,162
228,189
229,120
230,98
231,33
232,184
233,110
234,68
235,24
236,75
237,18
238,16
239,166
240,98
241,176
242,81
243,118
244,35
245,131
246,194
247,112
248,26
